IBD_DN,IBD_UP
DENND4C,TAOK2
STARD8,OR2M5
MTAP,CD248
FREM3,ISM2
CD8A,LIG4
OR4F13P,EPHA1
TUBGCP5,MIR23A
ZPR1,NXNL1
TOMM20L,SPATS2L
STAP1,WNT7B
COPZ2,RHOU
MUC6,ECEL1
FAM207A,SMURF2
CTPS1,PSMB8
GPR22,MIR211
TMEM242,UBE2D1
NMT2,CPXM1
EXD2,GDPD1
TXNDC16,ITGAD
FAM46D,RAB11FIP5
SUMF1,QKI
SLC2A8,LAMC1
XRCC2,TCF15
C12orf66,PRR33
APOBEC1,GPR84
KIAA0513,FBRS
GTSF1L,ROBO1
